Sample 	 Analysis-ready reads 	 Total mapped reads 	 Total Q30 mapped reads 	  Total after removing PCR duplicates 	 Total unique reads  	 S.mitis 	 S.oralis 	 S.parasanguinis 	 S.infantis 	 S.australis 	 S.perorsis 	 S.massiliensis 	 S.sanguinis 	 S.gordonii 	 S.cristatus 	 S.mutans 	 S.sobrinus 	 S.troglodytae 	 S.downei 	 S.criceti 	 S.intermedius 	 S.constellatus 	 S.anginosus 	 S.salivarius 	 S.vestibularis 	 S.acidominimus 	 S.spDD04 	 S.pluranimalium 	 S.pseudopneumoniae 
16811_Medieval_SpitalSquare_NRF88 	2428178	40867	30271	29626	29626	79	658	43	59	22	11	108	1685	1249	697	2	4	1	15	4	152	149	54	5	36	3	24500	13	77
16812_Medieval_SpitalSquare_NRF88 	2224336	80532	47113	45725	45725	208	3643	65	179	109	53	129	29652	5289	1209	4	3	1	13	4	209	93	17	8	11	3	4615	26	182
16813_Medieval_SpitalSquare_NRF88 	7053514	194383	131227	128169	128169	457	6118	110	277	102	93	544	50946	12586	3084	7	16	5	14	8	416	974	87	10	226	13	51591	115	370
16814_Medieval_SpitalSquare_NRF88 	1924437	60484	48196	47002	47002	79	633	71	41	20	21	265	1326	654	792	3880	2	79	5	7	582	1924	10864	7	113	6	25557	0	74
16815_Medieval_SpitalSquare_NRF88 	1712121	3420	2157	2114	2114	3	10	2	1	1	1	124	635	41	33	0	0	1	3	4	21	559	10	2	1	4	657	1	0
16816_Medieval_SpitalSquare_NRF88 	1876743	19425	15123	14830	14830	11	83	18	30	4	6	116	299	81	340	0	2	0	2	6	15	492	47	3	22	0	13246	2	5
16817_Medieval_SpitalSquare_NRF88 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16818_Medieval_SpitalSquare_NRF88 	3611268	231121	174678	162794	162794	381	2218	81	690	138	212	916	2921	913	6140	5	20	5	15	10	417	2346	454	6	1405	11	143296	7	187
16819_Medieval_SpitalSquare_NRF88 	1370913	193	52	51	51	0	9	1	0	1	0	1	1	3	2	1	0	0	0	0	0	6	9	0	0	0	16	0	1
16820_Medieval_SpitalSquare_NRF88 	2005698	11536	8104	7946	7946	52	523	15	34	8	12	154	159	124	328	2	1	1	5	2	72	995	65	3	16	0	5335	2	38
16821_Medieval_SpitalSquare_NRF88 	2832931	122931	79626	78176	78176	1076	22474	112	491	80	179	206	21062	6804	1435	27	12	3	11	10	386	1084	2579	19	71	9	19298	42	706
16822_Medieval_SpitalSquare_NRF88 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16823_Medieval_SpitalSquare_NRF88 	2326963	3732	2349	2211	2211	2	2	9	1	2	3	258	11	2	2	2	2	1	5	6	13	1775	10	3	4	4	88	5	1
16824_Medieval_SpitalSquare_NRF88 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16825_Medieval_SpitalSquare_NRF88 	2367970	44809	32904	31967	31967	126	1211	50	63	26	25	248	1140	263	904	3	10	3	6	15	103	1597	84	13	35	9	25915	12	106
16826_Medieval_SpitalSquare_SSQ88 	2595903	20130	14540	14189	14189	95	1035	40	43	9	15	171	173	56	256	1	1	3	7	11	35	1761	256	4	52	4	10089	9	63
16828_Medieval_SpitalSquare_SSQ88 	1828957	43568	34816	33891	33891	75	635	47	45	14	16	246	484	188	1192	2	1	0	1	1	94	1185	64	3	31	0	29495	0	72
16829_Medieval_SpitalSquare.SSQ88 	6294800	92880	70412	68279	68279	207	3142	59	104	30	30	710	2028	785	1588	8	6	2	12	7	468	4182	1462	18	128	7	53136	15	145
16830_Medieval_SpitalSquare.SSQ88 	2204211	205586	137030	131521	131521	738	12762	255	314	123	183	430	49195	7899	3845	19	8	4	15	9	559	619	584	35	110	13	53143	54	605
16832_Medieval_SpitalSquare_SSQ88 	4152919	66711	40931	40103	40103	183	2260	48	77	46	30	240	22159	2358	952	8	4	3	7	6	218	768	102	8	39	8	10391	37	151
16833_Medieval_SpitalSquare.SSQ88 	1993506	6533	4161	4098	4098	20	167	14	7	39	4	273	219	790	57	2	3	1	5	5	48	510	815	2	5	4	1091	8	9
16834_Medieval_MertonPriory_MPY86 	2678471	61820	39734	38279	38279	45	131	16	23	21	8	214	32290	1451	769	25	9	5	13	10	264	504	29	7	5	6	2394	19	21
16835_Medieval_MertonPriory_MPY86 	1823898	86758	53140	51810	51810	250	3616	58	223	84	56	354	36589	3764	1327	6	11	0	9	7	257	609	30	14	19	3	4275	68	181
16836_Medieval_MertonPriory_MPY86 	1253952	13834	8247	8106	8106	81	714	10	37	15	7	83	5793	270	184	0	4	1	4	0	31	107	8	3	3	4	672	23	52
16837_Medieval_MertonPriory_MPY86 	1292408	3641	2196	2134	2134	4	27	6	0	0	0	92	109	211	51	1	0	0	2	2	22	1063	207	11	6	2	315	1	2
16838_Medieval_MertonPriory_MPY86 	3280189	100419	62856	61552	61552	615	9309	119	648	493	129	218	35842	8177	1034	7	10	1	12	5	300	210	53	17	20	1	3687	118	527
16839_Medieval_MertonPriory_MPY86 	1510645	116670	90624	85918	85918	114	1204	94	82	24	25	217	4979	885	2400	1	1	1	0	1	87	1069	68	10	148	5	74371	21	111
16840_Medieval_MertonPriory_MPY86 	1997159	5697	4084	4016	4016	24	162	9	7	2	4	323	345	91	97	0	1	0	5	2	30	773	16	4	4	2	2094	4	17
16841_Medieval_MertonPriory_MPY86 	1025879	2422	1688	1646	1646	2	10	2	3	0	0	146	35	48	24	3	0	0	2	0	30	319	39	0	1	1	977	3	1
16842_Medieval_MertonPriory_MPY86 	3666169	169959	104045	100518	100518	785	10650	72	946	314	173	348	70561	3481	1950	9	19	1	11	3	417	310	165	23	28	7	9322	118	805
16843_Medieval_MertonPriory_MPY86 	5359636	22439	16025	15698	15698	31	190	58	29	31	10	700	256	129	338	505	28	36	38	42	59	1175	163	28	27	31	11739	21	34
16844_Medieval_MertonPriory_MPY86 	1537398	40175	25690	25125	25125	52	462	11	34	9	13	94	19710	898	508	2	4	0	1	2	255	403	31	9	8	3	2569	5	42
16845_Medieval_MertonPriory_MPY86 	2010260	8131	4883	4802	4802	34	386	10	31	8	13	199	2103	116	347	5	5	3	8	3	50	472	27	13	1	5	922	4	37
16846_Medieval_MertonPriory_MPY86 	1060987	15721	11442	11211	11211	48	346	14	16	9	5	86	1374	484	278	2	0	0	2	0	37	240	19	0	22	0	8197	2	30
16847_Medieval_MertonPriory_MPY86 	6311950	371753	220978	211922	211922	716	9396	173	1047	226	195	614	157834	9447	4328	24	61	11	45	25	790	841	146	50	44	38	24848	202	821
16848_Medieval_MertonPriory_MPY86 	1532960	17614	13844	13476	13476	14	214	25	11	1	4	35	251	46	289	0	1	2	3	1	18	151	7	1	3	2	12385	0	12
16849_Medieval_MertonPriory_MPY86 	1923369	24675	17724	17359	17359	96	961	19	51	47	12	247	3121	545	331	2	5	0	6	2	59	262	90	6	29	2	11376	11	79
16850_Medieval_MertonPriory_MPY86 	3263597	48743	36732	34952	34952	36	256	40	65	22	10	118	1699	2816	884	3	6	3	11	11	40	320	25	10	91	4	28440	12	30
16851_Medieval_MertonPriory_MPY86 	2110750	31680	23350	22771	22771	132	1288	25	39	29	13	417	913	3176	551	2	4	2	3	2	31	1852	56	5	52	3	14092	14	70
16852_Medieval_MertonPriory_MPY86 	6940896	25178	17099	16660	16660	16	98	27	9	16	3	449	5968	381	423	4	10	2	6	10	62	1210	31	6	22	6	7878	6	17
16853_Medieval_MertonPriory_MPY86 	6856354	32518	23532	23202	23202	80	760	38	41	24	23	432	844	187	516	10	19	6	15	8	64	755	137	12	40	9	19107	4	71
16854_Medieval_MertonPriory_MPY86 	2713014	8437	6533	5788	5788	2	2	17	4	12	2	191	14	7	19	2	3	2	10	4	7	5408	10	4	1	8	48	8	3
16855_Medieval_MertonPriory_MPY86 	1447665	32500	21763	21270	21270	51	571	13	32	25	10	151	12970	1280	480	1	4	1	2	4	104	254	17	15	14	4	5217	6	44
16856_Medieval_MertonPriory_MPY86 	1728108	14010	9764	9578	9578	47	935	7	17	4	6	118	1636	371	248	3	1	2	1	1	35	738	50	5	16	0	5296	10	31
16857_Medieval_MertonPriory_MPY86 	7399272	341892	219067	207138	207138	502	7893	186	1461	463	181	722	167905	7212	4092	20	23	2	19	9	1074	2766	153	27	26	12	11743	94	553
16858_Medieval_MertonPriory_MPY86 	2640267	26913	19859	18607	18607	75	871	21	89	8	12	928	1171	456	302	5	2	2	7	3	73	4316	531	3	13	5	9664	6	44
16860_Medieval_MertonPriory_MPY86 	1560845	63118	40909	40100	40100	247	3818	29	160	23	52	170	15853	1075	884	5	1	3	4	0	201	301	22	4	55	2	16998	20	173
16861_Medieval_MertonPriory_MPY86 	2219187	1600	648	625	625	1	5	8	3	1	0	148	8	5	7	1	2	1	4	4	8	345	13	0	1	7	49	2	2
16862_Medieval_MertonPriory_MPY86 	2153335	50492	36685	35777	35777	221	2183	16	102	33	30	156	4073	932	925	3	3	2	7	5	88	248	24	10	79	3	26483	15	136
16863_Medieval_MertonPriory_MPY86 	1152028	12106	7722	7550	7550	35	618	15	12	12	7	83	3842	886	119	1	5	1	2	3	48	851	162	8	9	4	809	3	15
16864_Medieval_MertonPriory_MPY86 	1783277	14845	8906	8749	8749	57	406	13	20	13	9	139	4766	402	298	3	5	1	2	6	62	348	273	9	7	5	1863	4	38
16865_Medieval_MertonPriory_MPY86 	907400	21243	14739	14467	14467	113	1572	51	100	45	18	157	5945	4628	238	5	3	0	4	3	67	350	26	2	10	2	988	50	90
16866_Medieval_MertonPriory_MPY86 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16867_Medieval_MertonPriory_MPY86 	1635787	22562	16553	16060	16060	14	57	17	9	3	5	210	5442	905	323	5	1	3	4	2	63	538	479	1	24	0	7908	0	47
16869_Medieval_MertonPriory_MPY86 	1890346	56993	34942	34003	34003	604	8072	45	240	51	112	126	15528	943	647	9	11	1	8	1	1976	237	454	19	61	2	4525	2	329
16870_Medieval_MertonPriory_MPY86 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16871_Medieval_MertonPriory_MPY86 	1760374	10813	6592	6467	6467	76	524	10	48	4	23	93	3154	222	149	4	7	3	11	5	69	251	54	4	12	4	1666	8	66
16872_Medieval_MertonPriory_MPY86 	1551722	3705	2274	2229	2229	16	132	1	8	2	6	86	706	65	72	3	3	1	5	2	6	588	9	1	4	6	491	5	11
16873_Medieval_MertonPriory_MPY86 	2485798	76537	55226	53971	53971	261	2295	64	116	60	41	200	11055	930	1563	6	6	4	10	2	160	250	62	13	36	6	36649	9	173
16874_Medieval_MertonPriory_MPY86 	1899669	2214	1342	1311	1311	6	12	1	3	5	0	256	17	13	15	2	1	1	4	4	10	401	50	3	2	4	497	2	2
16875_Medieval_MertonPriory_MPY86 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16876_Medieval_MertonPriory_MPY86 	1650286	5413	3680	3573	3573	1	4	9	0	2	3	176	30	10	37	3	0	1	13	5	84	1757	150	4	6	3	1267	3	5
16877_Medieval_MertonPriory_MPY86 	1776593	21041	12002	11820	11820	183	2269	23	101	36	36	156	3973	1157	229	2	6	5	5	4	50	470	31	3	12	5	2905	15	144
