#SampleID	Date	EarlyDate	AdjustedEarlyDate	LateDate	AdjustedLateDate	BlockPeriod	BlockPeriodByEarlyDate	BlockPeriodSimplified
StHelensOnWalls8873	1100-1550	1100	1100	1550	1550	LateMedieval	1000-1300	Norman Britain and the Middle Ages
StHelensOnWalls8875	1100-1550	1100	1100	1550	1550	Medieval 	1000-1300	Norman Britain and the Middle Ages
StHelensOnWallsy8874	1100-1550	1100	1100	1550	1550	LateMedieval	1000-1300	Norman Britain and the Middle Ages
18499_Pictish1	3364-3108 BC	U	-3364	U	-3108	NA	NA	Pre-Roman Britian
18502_Pictish3	402-535	U	402	U	535	NA	400_700	Roman Britain
18503_Pictish3	402-535	U	402	U	535	NA	400_700	Roman Britain
18501_Pictish2	U	U	U	U	U	NA	NA	U
Raunds8333	950-1150	950	950	1150	1150	ND	700-1000	Anglo-Saxon or Early Medieval Britain
Raunds8338	950-1150	950	950	1150	1150	ND	700-1000	Anglo-Saxon or Early Medieval Britain
Raunds8346	950-1150	950	950	1150	1150	ND	700-1000	Anglo-Saxon or Early Medieval Britain
Raunds8347	950-1150	950	950	1150	1150	ND	700-1000	Anglo-Saxon or Early Medieval Britain
Raunds8867	950-1150	950	950	1150	1150	LateAngloSaxon	700-1000	Anglo-Saxon or Early Medieval Britain
Raunds8869	950-1150	950	950	1150	1150	LateAngloSaxon	700-1000	Anglo-Saxon or Early Medieval Britain
Raunds8872	950-1150	950	950	1150	1150	LateAngloSaxon	700-1000	Anglo-Saxon or Early Medieval Britain
BreedonOnTheHill12855	-676	U	-676	U	-676	MidAngloSaxon	-800_-500	Pre-Roman Britian
BreedonOnTheHill12857	-676	U	-676	U	-676	NA	-800_-500	Pre-Roman Britian
BreedonOnTheHill12858	-676	U	-676	U	-676	NA	-800_-500	Pre-Roman Britian
BreedonOnTheHill12859	-676	U	-676	U	-676	NA	-800_-500	Pre-Roman Britian
BreedonOnTheHill12861	-676	U	-676	U	-676	NA	-800_-500	Pre-Roman Britian
BreedonOnTheHill12864	-676	U	-676	U	-676	NA	-800_-500	Pre-Roman Britian
