Sample 	 Analysis-ready reads 	 Total mapped reads 	 Total Q30 mapped reads 	  Total after removing PCR duplicates 	 Total unique reads  	 S.sanguinis 	 S.oralis 	 S.gordonii 	 S.cristatus 	 S.spDD04 	 S.mitis 	 S.infantis 	 S.intermedius 	 S.australis 	 S.pseudopneumoniae 	 S.constellatus 	 S.massiliensis 	 S.perorsis 	 S.parasanguinis 	 S.anginosus 	 S.vestibularis 	 S.pluranimalium 	 S.salivarius 	 S.mutans 	 S.downei 	 S.sobrinus 	 S.troglodytae 	 S.acidominimus 	 S.criceti 
18752_HealthyModern_1_Calculus_kneaddata 	3644282	42206	29559	24796	24796	6019	10429	453	278	245	493	195	2532	47	248	1987	300	45	17	1418	61	1	10	11	4	0	3	0	0
18754_HealthyModern_2_Calculus_kneaddata 	16473077	471810	337998	276289	276289	104693	131814	7037	4195	3476	12279	2318	1381	641	5830	546	459	742	244	61	352	35	105	10	63	4	2	1	1
18756_HealthyModern_3_Calculus_kneaddata 	1162304	18013	12626	10681	10681	6336	2428	245	372	149	134	51	73	22	108	621	66	15	14	35	6	0	3	2	0	1	0	0	0
18758_HealthyModern_4_Calculus_kneaddata 	2567777	57356	38157	31136	31136	23415	3007	1003	724	873	282	505	103	318	196	229	199	54	108	16	71	17	12	2	1	0	1	0	0
18760_HealthyModern_5_Calculus_kneaddata 	12829921	825959	591810	468647	468647	340779	66094	25589	8961	10743	3886	2570	1842	2115	2183	734	1180	373	795	72	264	233	114	52	33	24	5	6	0
18764_HealthyModern_7_Calculus_kneaddata 	1611610	82199	57179	47769	47769	15877	20423	913	609	580	1126	5715	504	408	623	58	62	562	127	36	88	16	33	5	1	1	1	1	0
18766_HealthyModern_8a_Calculus_2ndElute_kneaddata 	1103739	76517	55405	46613	46613	36079	6102	1309	1222	816	378	107	111	70	160	37	86	31	34	3	23	34	5	2	3	0	1	0	0
18767_HealthyModern_8b_Calculus_kneaddata 	4466633	16339	11643	9681	9681	5950	2123	227	357	164	213	52	39	10	87	215	131	8	4	80	14	2	2	1	0	0	0	0	2
18769_HealthyModern_9_Calculus_kneaddata 	2997397	243762	178736	146591	146591	120830	13143	4914	2385	2310	597	398	407	285	354	143	352	81	69	256	24	8	14	7	11	1	0	2	0
18771_HealthyModern_10_Calculus_2ndElute_kneaddata 	4616490	457005	318619	254612	254612	202651	21163	8645	7091	7556	1534	406	1501	630	1035	343	602	143	222	73	579	262	73	98	3	0	0	2	0
18773_HealthyModern_11_Calculus_kneaddata 	3757006	145680	104866	87733	87733	45926	33718	2017	1164	1023	1084	471	890	87	814	87	118	184	31	21	43	9	17	14	12	2	1	0	0
18775_HealthyModern_12_Calculus_2ndElute_kneaddata 	719877	96096	70066	59601	59601	44478	4941	1760	965	1148	213	1376	98	3712	152	39	103	152	344	6	29	19	57	2	3	0	0	4	0
18777_HealthyModern_13_Calculus_kneaddata 	5922132	263872	191982	160643	160643	121484	20876	6681	2990	2447	906	2607	335	439	491	89	411	327	208	16	129	133	47	15	5	0	6	1	0
18781_HealthyModern_15_Calculus_kneaddata 	1497628	16945	11535	9741	9741	5047	2555	377	623	114	389	52	220	20	181	35	32	26	9	45	8	1	6	0	0	0	1	0	0
18784_HealthyModern_16_Calculus_kneaddata 	6257755	350029	254520	208342	208342	156663	31818	7039	3330	3325	1605	484	559	489	1042	598	638	174	286	25	190	13	30	11	18	3	1	1	0
18786_HealthyModern_17_Calculus_kneaddata 	11077891	613082	447962	356376	356376	217961	88686	13344	7025	4188	3536	6264	550	8704	2524	298	761	838	919	101	381	44	175	23	35	14	1	4	0
18791_HealthyModern_20_Calculus_kneaddata 	7865569	256001	179618	142987	142987	29351	88470	2019	1209	734	3262	1018	12193	535	1997	907	142	388	64	323	208	35	51	60	4	1	14	1	1
18793_HealthyModern_21_Calculus_kneaddata 	475986	10371	7369	6180	6180	4158	1316	234	122	80	82	39	13	18	58	6	8	11	20	2	4	1	7	0	1	0	0	0	0
