Sample 	 Analysis-ready reads 	 Total mapped reads 	 Total Q30 mapped reads 	  Total after removing PCR duplicates 	 Total unique reads  	 S.mitis 	 S.oralis 	 S.parasanguinis 	 S.infantis 	 S.australis 	 S.perorsis 	 S.massiliensis 	 S.sanguinis 	 S.gordonii 	 S.cristatus 	 S.mutans 	 S.sobrinus 	 S.troglodytae 	 S.downei 	 S.criceti 	 S.intermedius 	 S.constellatus 	 S.anginosus 	 S.salivarius 	 S.vestibularis 	 S.acidominimus 	 S.spDD04 	 S.pluranimalium 	 S.pseudopneumoniae 
19767_ModernCalculus_PerioDisease_1_kneaddata 	522533	30203	20308	19153	19153	99	646	204	77	535	15	39	13762	2235	860	4	0	1	4	0	90	32	9	16	19	1	443	3	59
19768_ModernCalculus_PerioDisease_2_kneaddata 	693950	22365	16030	14962	14962	88	485	123	66	1055	14	17	10354	882	1260	0	0	0	1	1	90	16	5	18	29	1	321	2	134
19769_ModernCalculus_PerioDisease_3_kneaddata 	533598	2611	1879	1762	1762	3	1	16	1	2	1	79	9	10	42	6	0	0	0	0	79	1082	389	2	3	0	37	0	0
19770_ModernCalculus_PerioDisease_4_kneaddata 	504145	4904	3447	3256	3256	39	280	73	22	13	1	5	1431	1105	114	5	0	0	0	0	43	24	23	14	18	1	29	0	16
19771_ModernCalculus_PerioDisease_5_kneaddata 	479474	48256	35916	33655	33655	204	7536	127	1429	1274	117	37	18058	3634	421	8	1	0	4	0	28	25	65	22	17	1	373	24	250
19772_ModernCalculus_PerioDisease_6_kneaddata 	573102	67433	46465	43536	43536	197	823	12	75	27	10	118	37883	1503	1030	3	2	0	0	0	209	51	4	1	63	4	1477	9	35
19773_ModernCalculus_PerioDisease_7_kneaddata 	625631	15412	11210	10576	10576	143	1345	71	32	47	21	12	1199	3330	3995	1	0	0	2	0	18	16	26	1	21	0	226	6	64
19774_ModernCalculus_PerioDisease_8_kneaddata 	605075	59926	42460	39867	39867	177	4360	29	103	75	17	86	32180	1177	619	2	1	0	0	1	99	212	13	5	34	2	561	13	101
19775_ModernCalculus_PerioDisease_9_kneaddata 	581843	45785	32906	30941	30941	305	8820	53	317	217	54	62	19157	767	451	1	0	0	1	1	59	31	8	2	19	5	393	11	207
19776_ModernCalculus_PerioDisease_10_kneaddata 	494696	19922	15837	14946	14946	70	2513	5	31	16	13	51	10525	255	134	4	0	0	0	1	335	161	615	2	12	1	140	17	45
19777_ModernCalculus_PerioDisease_11_kneaddata 	824570	15207	10339	9699	9699	65	448	214	96	153	12	23	259	1498	1844	4451	0	85	1	0	10	28	22	299	43	1	99	3	45
19778_ModernCalculus_PerioDisease_12_kneaddata 	1251970	109825	82104	76153	76153	59	1509	16	502	84	25	149	66862	2367	1449	2	0	1	5	0	1207	122	30	5	17	72	1601	38	31
19779_ModernCalculus_PerioDisease_13_kneaddata 	1217403	27978	17386	16326	16326	523	5875	55	396	106	85	186	1481	1046	4538	7	1	1	3	2	123	925	306	19	33	9	299	3	304
19780_ModernCalculus_PerioDisease_14_kneaddata 	994875	52272	39549	37194	37194	271	7967	59	195	45	48	111	26225	872	489	2	2	0	3	0	55	69	69	13	11	1	468	14	205
19781_ModernCalculus_PerioDisease_15_kneaddata 	550995	1078	685	646	646	10	230	1	10	3	0	53	33	80	20	1	0	0	1	0	6	142	16	1	2	0	27	2	8
19782_ModernCalculus_PerioDisease_16_kneaddata 	648308	38582	27578	25927	25927	142	2120	33	96	142	18	79	21377	759	423	6	2	1	4	1	47	94	6	7	37	2	450	15	66
