Island	16812_Medieval_SpitalSquare_NRF88	16813_Medieval_SpitalSquare_NRF88	16821_Medieval_SpitalSquare_NRF88	16830_Medieval_SpitalSquare.SSQ88	16832_Medieval_SpitalSquare_SSQ88	16834_Medieval_MertonPriory_MPY86	16835_Medieval_MertonPriory_MPY86	16838_Medieval_MertonPriory_MPY86	16842_Medieval_MertonPriory_MPY86	16847_Medieval_MertonPriory_MPY86	16857_Medieval_MertonPriory_MPY86	16918_Medieval_StBenetSherehog_ONE94	16961_PostMedieval_StBrides_SB79	16966_Medieval_BermondseyAbbey_BA84	Hinxton16491	Jewbury8815	Jewbury8822	Jewbury8839	NewarkBay8887	Oakington16540	Raunds8346	StHelensOnWalls8873	StHelensOnWalls8875	Yorkshire8893	Yorkshire8895	18754_HealthyModern_2_Calculus_kneaddata	18758_HealthyModern_4_Calculus_kneaddata	18760_HealthyModern_5_Calculus_kneaddata	18766_HealthyModern_8a_Calculus_2ndElute_kneaddata	18769_HealthyModern_9_Calculus_kneaddata	18771_HealthyModern_10_Calculus_2ndElute_kneaddata	18773_HealthyModern_11_Calculus_kneaddata	18775_HealthyModern_12_Calculus_2ndElute_kneaddata	18777_HealthyModern_13_Calculus_kneaddata	18784_HealthyModern_16_Calculus_kneaddata	18786_HealthyModern_17_Calculus_kneaddata	18791_HealthyModern_20_Calculus_kneaddata	19771_ModernCalculus_PerioDisease_5_kneaddata	19772_ModernCalculus_PerioDisease_6_kneaddata	19774_ModernCalculus_PerioDisease_8_kneaddata	19775_ModernCalculus_PerioDisease_9_kneaddata	19778_ModernCalculus_PerioDisease_12_kneaddata	19780_ModernCalculus_PerioDisease_14_kneaddata	19782_ModernCalculus_PerioDisease_16_kneaddata	19783_ModernCalculus_PerioDisease_17_kneaddata	19785_ModernCalculus_PerioDisease_19_kneaddata	19786_ModernCalculus_PerioDisease_20_kneaddata	19792_ModernCalculus_PerioDisease_26_kneaddata	19795_ModernCalculus_PerioDisease_29_kneaddata	19796_ModernCalculus_PerioDisease_30_kneaddata
GI-1-	1.356050044	1.260210588	79.54232	1.328992397	79.63882	1.300838121	1.336318622	1.366844769	1.284170805	1.156833361	1.135380601	1.168494075	75.9443	82.82327	1.273340569	85.49766	1.301568901	74.11084	1.259601618	80.64516	90.32258	86.44885	1.419257163	1.198727787	1.196577894	1.120099207	86.66942	1.075444805	1.257668452	1.191201959	1.171897928	1.26519083	1.239989449	1.126906687	1.112324878	1.096342978	1.35594211	75.13096	1.351625558	1.342383768	70.48525	1.264228286	1.221801328	86.24207	1.310789332	1.3714947	79.29418	1.486025312	79.9421	82.47863
GI-10	0	0.012511411	2.22099	0	0.41644	0	0.046994976	0	0	0	0	0	1.19378	0	0.007055073	1.16602	0.010156664	0	0.014626059	0	0	0	0.038789815	0.04009012	0	0.242242399	0	0.085689291	0.430304419	0.076903994	0	0.028007498	0	0.606001734	0.919628942	0.503428965	0	0	0	0	3.0261	0	0	0	0	0	0	0	2.52637	1.66574
GI-11	1.081995184	1.213824847	61.71248	1.271156674	67.8667	1.123620162	1.233830881	0.984505653	0.929490911	1.073189861	1.133717139	1.137910634	20.62759	74.43444	0.773026751	82.09682	1.154150086	52.73656	1.010426654	66.2126	31.08733	63.36658	0.881815924	0.953096919	0.886889925	1.102388983	65.60448	1.065503931	0.971952099	1.045875551	0.89610844	0.964477184	0.878742652	1.016984603	1.042787666	1.052873308	1.144339851	77.42642	1.183424978	0.874640611	53.97713	1.195779801	1.203031302	41.69302	0.807491021	1.078260818	44.68499	1.104728291	58.84213	67.5748
GI-12	0	0	0	0.022808675	0	0	0	0	0	0	0	0	0	0	0.340070775	0	0	0	0.538806401	0	0	0	0	0	0.123059955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.071105173	0	0	0	0
GI-14	0.475223438	0.417160708	22.28534	0.424798558	34.03668	0.206065336	0.780008448	1.135723931	0.434875987	0.927268206	0.632885931	0.495177014	6.96316	27.93378	0.551197203	39.34426	0.425256254	26.89498	0.831427269	39.08457	62.8794	18.37364	0.266962568	0.978558239	1.050462812	0.951020792	29.03749	0.761766162	0.413253483	0.877525238	0.61448421	0.627615315	0.688525341	0.742064673	0.797999665	0.910208498	0.480816481	50.68982	0.927638104	0.70862259	12.12466	0.23602925	0.809943571	18.24379	0.434849072	0.465198859	34.29638	0.018269739	17.28615	25.58026
GI-15	0.103407314	0.062153511	2.33934	0.061753288	5.72547	0.113689206	0.048543025	0.215946811	0.103018545	0.487239922	0.104818641	0.110190613	2.23011	3.87766	0.644890392	3.07664	0.085941883	5.22483	0.114476707	3.05844	26.68851	3.54997	0.131742672	0.417664305	0.097832823	0.226446424	5.88931	0.307479671	0.214649356	0.414628594	0.253113578	0.171091258	0.454347948	0.208743462	0.194398683	0.40087474	0.099304858	5.33406	0.061633988	0.461797875	14.18169	0.144275517	0.997485129	30.90297	0.4977014	0.179682833	10.9594	0.143143273	10.15838	19.65228
GI-16	0.046300131	0	0	0	0	0.10670563	0	0	0	0	0.047126582	0	0	0	0	0	0.121793437	0	0.033111631	0	0	0	0	0.071898148	0.203952993	1.06475925	13.36653	1.050319511	0.840383528	1.14552668	1.18529664	0.474328173	1.149708483	1.034112795	0.38298736	1.011104504	0	35.38874	0	0.909501975	41.09537	1.362864074	0.275375108	7.6599	0.124108908	0	0	1.2689274	81.53964	82.15243
GI-17	0.048295476	0.078605328	2.48145	0.706375672	0	0.194382617	0.029124856	0.122772457	0.006277953	0.079129141	0.94493326	0.581913002	0.23024	32.00307	0	16.67946	0.028437028	1.68841	0.020734468	1.81632	0	0	0.019425737	0.048024077	0.379696979	0.023783178	2.30238	0.732920152	0.267110938	0	0.60341271	0.248570564	0.08172538	0.181331344	0.621752344	0.301501335	0	0	0	0.051929421	1.53492	0	0.117982608	3.45357	0.068887086	0.87065514	39.37068	0	2.04656	31.33794
GI-18	0	0.032443006	21.25435	0.063875266	0	0	0.039858433	0.019255404	0.048012362	0.106952813	3.68E-04	0.304271996	1.36205	1.26703	0.024996103	13.74723	0.103403601	0.72854	0.065895141	52.96167	4.33956	0	0	0.097199902	0.078356921	0.823842376	25.11878	1.06760976	0.802898738	0.919421627	0.66304534	0.753472911	1.017902241	0.980912094	1.06299783	1.096342978	0.375531982	75.57808	0.596195966	0.757877888	23.85176	1.279115123	1.0280474	61.57745	0.99463908	0.151231595	22.14127	0.985910468	56.25594	54.2287
GI-19	0.302419417	0.291778385	40.97258	1.183680808	25.40093	0.938500328	0	0.384413798	0.417463614	0.416842225	1.006188239	1.182312955	0	2.63839	0.162950153	35.10088	0.125204225	5.19917	0.283727412	14.45939	1.06053	15.54578	0.102137369	0.137581719	0.044759211	1.038395139	14.14899	0.031990719	0.555513647	0.025016571	0.822901201	0.721043818	1.099002711	0.813844684	0.84647178	0.940370757	0.037517127	21.80548	0	0.797257319	10.06208	0	0	24.2628	0.348266655	0	0	0	17.25297	18.41697
