Sample 	 Whole Genome Coverage 	 Relative Abundance 	 Date Range 	 Early Date 	 Late Date 	 Date
16812_Medieval_SpitalSquare_NRF88 	0.603855738	0.648	 1235-1280 	1235	1280	 Norman Britain and the Middle Ages
16813_Medieval_SpitalSquare_NRF88 	0.73225952	0.397	 1235-1280 	1235	1280	 Norman Britain and the Middle Ages
16821_Medieval_SpitalSquare_NRF88 	0.532178068	0.269	 1235-1280 	1235	1280	 Norman Britain and the Middle Ages
16830_Medieval_SpitalSquare.SSQ88 	0.694257772	0.374	 1280-1320 	1280	1320	 Norman Britain and the Middle Ages
16832_Medieval_SpitalSquare_SSQ88 	0.543993815	0.552	 1280-1320 	1280	1320	 Norman Britain and the Middle Ages
16834_Medieval_MertonPriory_MPY86 	0.631710807	0.843	 1222-1300 	1222	1300	 Norman Britain and the Middle Ages
16835_Medieval_MertonPriory_MPY86 	0.667550077	0.706	 1300-1390 	1300	1390	 Norman Britain and the Middle Ages
16838_Medieval_MertonPriory_MPY86 	0.625107634	0.582	 1222-1300 	1222	1300	 Norman Britain and the Middle Ages
16842_Medieval_MertonPriory_MPY86 	0.692725763	0.701	 1117-1222 	1117	1222	 Norman Britain and the Middle Ages
16847_Medieval_MertonPriory_MPY86 	0.847030552	0.744	 1300-1390 	1300	1390	 Norman Britain and the Middle Ages
16857_Medieval_MertonPriory_MPY86 	0.861456501	0.81	 1300-1390 	1300	1390	 Norman Britain and the Middle Ages
16918_Medieval_StBenetSherehog_ONE94 	0.840111492	0.583	 1280-1666 	1280	1666	 Norman Britain and the Middle Ages
16961_PostMedieval_StBrides_SB79 	0.561482912	0.725	 U 	 U 	 U 	 U
16966_Medieval_BermondseyAbbey_BA84 	0.56266205	0.501	 1066-1540 	1066	1540	 Norman Britain and the Middle Ages
Hinxton16491 	0.747660542	0.594	 U 	1263	1313	 Norman Britain and the Middle Ages
Jewbury8815 	0.583992266	0.402	 1170-1290 	1170	1290	 Norman Britain and the Middle Ages
Jewbury8822 	0.71068608	0.758	 1170-1290 	1170	1290	 Norman Britain and the Middle Ages
