Genomic Island	16811_Medieval_SpitalSquare_NRF88	16813_Medieval_SpitalSquare_NRF88	16814_Medieval_SpitalSquare_NRF88	16818_Medieval_SpitalSquare_NRF88	16821_Medieval_SpitalSquare_NRF88	16825_Medieval_SpitalSquare_NRF88	16828_Medieval_SpitalSquare_SSQ88	16829_Medieval_SpitalSquare.SSQ88	16830_Medieval_SpitalSquare.SSQ88	16839_Medieval_MertonPriory_MPY86	16847_Medieval_MertonPriory_MPY86	16850_Medieval_MertonPriory_MPY86	16853_Medieval_MertonPriory_MPY86	16860_Medieval_MertonPriory_MPY86	16862_Medieval_MertonPriory_MPY86	16873_Medieval_MertonPriory_MPY86	16881_Medieval_MertonPriory_MPY86	16886_Medieval_MertonPriory_MPY86	16887_Medieval_MertonPriory_MPY86	16897_PostMedieval_CrossBones_REW92	16901_PostMedieval_CrossBones_REW92	16906_PostMedieval_StBenetSherehog_ONE94	16913_Medieval_StBenetSherehog_ONE94	16914_Medieval_StBenetSherehog_ONE94	16916_Medieval_StBenetSherehog_ONE94	16918_Medieval_StBenetSherehog_ONE94	16936_Medieval_MertonPriory_MPY86	16937_Medieval_StMaryGraces_MIN86	16942_Medieval_StMaryGraces_MIN86	16955_Medieval_GuildhallYard_GYE92	18502_Pictish3	BreedonOnTheHill12857	BreedonOnTheHill12861	Hinxton16489	IsleOfPamona15920	Linton16499	Oakington15810	Oakington16500	Raunds8338	Raunds8346	Raunds8347	StBrides12850	StBrides12866	StBrides12867	StHelensOnWalls8873	StHelensOnWalls8875	StNiniansIsle15928	StNiniansIsle15929	Yorkshire8892	Yorkshire8893	Yorkshire8895
GI-10	0.6250898	0.9092215	0.6002667	0.8015181	0.6684788	0.5130783	0.6114473	0.806134	0.8564981	0.8542415	0.8588573	0.6730947	0.4609703	0.6435532	0.5865217	0.7739255	0.4913324	0.7731049	0.8478819	0.7817212	0.6457072	0.7549492	0.5127705	0.7985435	0.5308236	0.8601908	0.7740281	0.5833419	0.7523848	0.8690122	0.6131911	0.9013232	0.8055185	0.9540465	0.7240742	0.609601	0.8939378	0.863268	0.7469484	0.8783465	0.6657093	0.7356652	0.613704	0.8542415	0.8345472	0.9253257	0.7474613	0.5191302	0.912709	0.929839	0.9388655
GI-11	0.7002551	0.7891837	0.747449	0.807398	0.6185714	0.6854082	0.7280102	0.8221939	0.8041326	0.8512245	0.5908673	0.7218367	0.6071429	0.5941327	0.7847959	0.8214796	0.6552551	0.6764286	0.7957143	0.680051	0.675	0.7853061	0.6123469	0.7714286	0.5578572	0.5135714	0.689898	0.6813775	0.7266327	0.8285714	0.7445918	0.8542347	0.7091837	0.8668877	0.6961225	0.5830102	0.842347	0.8432143	0.7159184	0.7990816	0.7336735	0.7172449	0.610051	0.7411734	0.6860204	0.8413776	0.7283673	0.6927551	0.8455612	0.8092347	0.8609694
GI-12	0.0998425	0.2719575	0	0.0931469	0.073651	0.1325325	0	0.1825522	0.1874754	0.1681764	0.0734541	0.1559669	0.1309571	0.1136274	0.1014179	0	0.0970855	0.3487594	0.5752265	0.120323	0.0994486	0	0.1155967	0.1506499	0.0387948	0	0	0.0500197	0.0730603	0.2006696	0.1163844	0.1291847	0.0602599	0.0813312	0.0886176	0.1455297	0.1043718	0.1043718	0.1112643	0.1112643	0.0100433	0.319811	0.0827097	0.1736904	0.1317448	0	0	0	0.188657	0	0.1914139
GI-14	0.549481	0.7225902	0.4576701	0.7981545	0.3866864	0.3323776	0.6824847	0.3688252	0.5303015	0.1884001	0.4566815	0.3550832	0.4941506	0.4506179	0.274378	0.6748723	0.3478332	0.5345856	0.5492173	0.5857308	0.2135772	0.7671445	0.5208766	0.3935409	0.4230022	0.3430878	0.7319493	0.5575218	0.5201845	0.3736365	0.1264129	0.76609	0.5214698	0.8624815	0.659977	0.5569616	0.7773933	0.7312242	0.6292305	0.5605536	0.5757785	0.6380953	0.5748228	0.7493492	0.6402043	0.7290163	0.7140551	0	0.7702422	0.7396276	0.8378646
GI-15-1	0.0008985	0.0134771	0.0224618	0	0.0781671	0	0	0.7987421	0	0.034142	0.0718778	0.0053908	0.017071	0	0.2093441	0.0125786	0.2246182	0.3809524	0.0925427	0.0431267	0	0	0.0754717	0	0.0916442	0.0790656	0	0.049416	0.0431267	0.0089847	0.0979335	0.1051213	0	0.1230907	0.0592992	0.0404313	0.032345	0.0143756	0.0673854	0.0862534	0.0449236	0	0	0	0.0907457	0.0161725	0.0179695	0.1150045	0.015274	0.0053908	0.1275831
GI-15-2	0	0.4793956	0	1	0	0	0	0	0.5370879	0	0.5782967	0	0	0.0068681	0	0	0	0.3722527	0.0851648	0	0.9244506	0	0	0.8956044	0	0	0	0	0	1	0	0	0.2596154	0	0.5549451	0	0	0	0	0	0	0.010989	0.228022	0.1002747	0.3173077	0	0	0	0	0	0
GI-16-1	0.012105	0.0586787	0	0	0	0.0266721	0	0	0.0036931	0.0026672	0	0	0.319245	0.3362741	0	0	0	0.1717275	0.1159212	0.1637259	0	0.012105	0.0383668	0	0.044522	0.2942142	0	0	0.0114895	0	0	0	0.1971686	0.4622487	0.0041034	0	0.0871974	0.0133361	0	0.3904391	0	0.0865819	0	0.0791957	0.0767337	0.2209684	0.0022569	0.026467	0	0.0281083	0.0527288
GI-16-2	0.1539961	0.8927875	0.5935673	0.3879142	0.7378168	0.8118908	0.1062378	0.7134503	0.5526316	0.1549708	0.1247563	0.1559454	0.6890838	0.4551657	0.1062378	0.6890838	0	0.6296296	0.8226121	0.4473684	0.2417154	0.794347	0.5136452	0.2738791	0.2699805	0.1608187	0.2592593	0.8079922	0.4814815	0.0877193	0.0380117	0.8187134	0.4736842	0.7982456	0.0584795	0.0916179	0.662768	0.3567252	0.0730994	0.5916179	0.3226121	0.1539961	0.1500975	0.297271	0.1179337	0.6842105	0.2046784	0.3625731	0.7768031	0.2134503	0.2719298
GI-17	0.1635611	0.7464261	0.1934339	0.7738342	0.4150646	0.2725032	0.6303855	0.4810214	0.8637484	0.0121266	0.4599231	0.0260278	0.0127181	0	0.0587597	0.7261165	0	0.5916396	0.4158533	0.5989352	0.5780341	0.741398	0.4642611	0.0369713	0.2210391	0.4314305	0.7906931	0.1762792	0.6919057	0.3523612	0.0102534	0.7267081	0.0654639	0.3146012	0.540767	0.5126688	0.6726807	0.5019225	0.5743863	0.0094647	0	0.426994	0.3666568	0.7443557	0.0350981	0.7020605	0.4333037	0	0.0101548	0.0419008	0.0378586
GI-18	0.0866004	0.4256396	0.2852936	0.4895086	0.0651574	0.3149273	0.5300938	0.2065157	0.0995767	0.0372722	0.033591	0.0521811	0.1698877	0.0080066	0	0.2301675	0.3062765	0.3192527	0.0251242	0.2037548	0.0163814	0.5764771	0	0.3612185	0.1489048	0	0.0696668	0.15231	0.3093134	0.1581079	0.3848702	0.5196024	0.170716	0.2735137	0.1431069	0.0356157	0.3782441	0.5239279	0.1429229	0.4803056	0.1045463	0.100681	0.5088349	0.6946439	0.103626	0.2943125	0.1994294	0.0554942	0.0157372	0.0406773	0.5402172
