Sample 	 Whole Genome Coverage 	 Relative Abundance 	 Date Range 	 Early Date 	 Late Date 	 Date
16811_Medieval_SpitalSquare_NRF88 	0.643819039	0.826	 1235-1280 	1235	1280	 Norman Britain and the Middle Ages
16813_Medieval_SpitalSquare_NRF88 	0.778657273	0.402	 1235-1280 	1235	1280	 Norman Britain and the Middle Ages
16814_Medieval_SpitalSquare_NRF88 	0.655681312	0.543	 1235-1280 	1235	1280	 Norman Britain and the Middle Ages
16818_Medieval_SpitalSquare_NRF88 	0.750060348	0.88	 1235-1280 	1235	1280	 Norman Britain and the Middle Ages
16821_Medieval_SpitalSquare_NRF88 	0.565946447	0.246	 1235-1280 	1235	1280	 Norman Britain and the Middle Ages
16825_Medieval_SpitalSquare_NRF88 	0.609774215	0.81	 1235-1280 	1235	1280	 Norman Britain and the Middle Ages
16828_Medieval_SpitalSquare_SSQ88 	0.674905796	0.87	 1280-1320 	1280	1320	 Norman Britain and the Middle Ages
16829_Medieval_SpitalSquare.SSQ88 	0.732798817	0.778	 1280-1320 	1280	1320	 Norman Britain and the Middle Ages
16830_Medieval_SpitalSquare.SSQ88 	0.741858496	0.404	 1280-1320 	1280	1320	 Norman Britain and the Middle Ages
16839_Medieval_MertonPriory_MPY86 	0.761992175	0.865	 1117-1222 	1117	1222	 Norman Britain and the Middle Ages
16847_Medieval_MertonPriory_MPY86 	0.589694633	0.117	 1300-1390 	1300	1390	 Norman Britain and the Middle Ages
16850_Medieval_MertonPriory_MPY86 	0.639482631	0.813	 1222-1300 	1222	1300	 Norman Britain and the Middle Ages
16853_Medieval_MertonPriory_MPY86 	0.539525682	0.823	 1117-1222 	1117	1222	 Norman Britain and the Middle Ages
16860_Medieval_MertonPriory_MPY86 	0.524487134	0.423	 1117-1222 	1117	1222	 Norman Britain and the Middle Ages
16862_Medieval_MertonPriory_MPY86 	0.631758561	0.74	 1222-1300 	1222	1300	 Norman Britain and the Middle Ages
16873_Medieval_MertonPriory_MPY86 	0.714255776	0.679	 1222-1300 	1222	1300	 Norman Britain and the Middle Ages
16881_Medieval_MertonPriory_MPY86 	0.56304475	0.827	 1117-1538 	1117	1538	 Norman Britain and the Middle Ages
16886_Medieval_MertonPriory_MPY86 	0.649645618	0.411	 1222-1300 	1222	1300	 Norman Britain and the Middle Ages
16887_Medieval_MertonPriory_MPY86 	0.743684615	0.624	 1117-1538 	1117	1538	 Norman Britain and the Middle Ages
16897_PostMedieval_CrossBones_REW92 	0.644964625	0.428	 1598-1853 	1598	1853	 Reformation
16901_PostMedieval_CrossBones_REW92 	0.61807426	0.506	 1598-1853 	1598	1853	 Reformation
16906_PostMedieval_StBenetSherehog_ONE94 	0.738058513	0.618	 1670-1853 	1670	1853	 Reformation
16913_Medieval_StBenetSherehog_ONE94 	0.550329652	0.702	 1280-1666 	1280	1666	 Norman Britain and the Middle Ages
16914_Medieval_StBenetSherehog_ONE94 	0.699349516	0.76	 1250-1500 	1250	1500	 Norman Britain and the Middle Ages
16916_Medieval_StBenetSherehog_ONE94 	0.516363473	0.785	 1280-1666 	1280	1666	 Norman Britain and the Middle Ages
16918_Medieval_StBenetSherehog_ONE94 	0.55713498	0.076	 1280-1666 	1280	1666	 Norman Britain and the Middle Ages
16936_Medieval_MertonPriory_MPY86 	0.722663561	0.805	 1300-1390 	1300	1390	 Norman Britain and the Middle Ages
