Genomic Island 	 Island Length 	 Number of Genes	GC content
GI-10 	9749	8	0.460047
GI-11 	19600	16	0.382398
GI-12 	5078	5	0.276487
GI-14 	30345	9	0.422178
GI-15-1 	1113	3	0.285714
GI-15-2 	728	1	0.278846
GI-16-1 	4874	5	0.305499
GI-16-2 	1026	3	0.28655
GI-17 	10143	9	0.353939
GI-18 	10866	14	0.356893
GI-19 	21945	33	0.367419
GI-1- 	6200	6	0.330161
GI-20 	6318	8	0.349319
GI-21-1 	12649	10	0.386987
GI-21-2 	2015	2	0.313151
GI-22 	43839	48	0.36682
GI-23 	3660	4	0.302459
GI-24 	2731	2	0.29513
GI-25 	1121	1	0.312221
GI-26 	938	2	0.390192
GI-27 	764	2	0.421466
GI-28 	4440	7	0.377027
GI-29 	1805	1	0.27867
GI-2- 	10764	10	0.314103
GI-30 	4914	6	0.322548
GI-31 	765	2	0.39085
GI-32 	2322	2	0.44143
GI-33 	3234	4	0.260049
GI-35 	5257	6	0.312155
GI-36 	13239	21	0.401465
GI-37 	3227	3	0.302138
GI-38 	1904	2	0.329307
GI-39 	1700	2	0.290588
GI-40 	3599	4	0.354265
GI-41 	6190	6	0.350081
GI-42 	5036	4	0.408856
GI-43 	5297	7	0.371153
GI-44 	980	1	0.380612
GI-45 	2343	2	0.38455
GI-46 	1877	3	0.405967
GI-47 	1904	2	0.329307
GI-48 	3812	1	0.37723
GI-49 	306	2	0.359477
GI-4- 	32856	14	0.343073
GI-50 	1224	3	0.473039
GI-51 	3313	5	0.37217
GI-52 	1253	1	0.375898
GI-53 	3290	2	0.488754
GI-54 	10049	6	0.421933
GI-55 	999	2	0.404404
GI-56 	9855	6	0.439777
GI-5- 	4944	4	0.281958
GI-6 	31780	38	0.337067
GI-7 	341	1	0.445748
GI-8 	536	2	0.451493
GI-9 	25646	33	0.325314
