Genomic Island 	 Island Length 	 Number of Genes	GC content
GI-10 	3602	4	0.278734
GI-11 	4111	5	0.335198
GI-12 	3347	3	0.318494
GI-13 	1905	5	0.393701
GI-14 	6161	9	0.342315
GI-15 	10986	12	0.36319
GI-16 	2611	4	0.382229
GI-17 	3909	5	0.32924
GI-18 	3157	3	0.320874
GI-19 	3866	4	0.335748
GI-1- 	7254	2	0.469258
GI-20 	1790	4	0.351397
GI-21 	1955	3	0.329923
GI-22 	2955	5	0.492386
GI-23 	3441	3	0.408021
GI-24-1 	2393	3	0.39532
GI-24-2 	2221	4	0.334534
GI-25 	1485	3	0.360269
GI-26 	6730	7	0.382169
GI-27 	4338	2	0.374597
GI-28 	3018	3	0.459245
GI-29 	3155	3	0.418384
GI-2- 	5596	7	0.343102
GI-30 	750	3	0.474667
GI-31 	3564	5	0.378507
GI-32 	5093	7	0.421166
GI-33 	7338	6	0.453802
GI-34 	1965	5	0.333842
GI-35 	5063	6	0.458424
GI-36 	3039	4	0.479763
GI-37 	827	1	0.35792
GI-38 	12191	10	0.360922
GI-39 	1901	3	0.37191
GI-3- 	3414	6	0.378149
GI-40 	2409	2	0.408053
GI-41 	4025	2	0.412422
GI-42 	1388	2	0.373919
GI-43 	1369	2	0.360847
GI-44 	3223	5	0.385666
GI-45 	401	1	0.349127
GI-46 	263	1	0.361217
GI-47 	4547	6	0.418738
GI-48 	3429	2	0.431904
GI-49 	1087	2	0.410304
GI-4- 	6101	6	0.29028
GI-50 	1612	2	0.315136
GI-51 	278	1	0.327338
GI-52 	1906	2	0.328961
GI-53 	1944	3	0.330247
GI-54 	2552	2	0.267633
GI-55 	1019	1	0.539745
GI-56 	6861	4	0.343099
GI-57 	3165	3	0.326382
GI-58 	575	1	0.412174
GI-59 	2463	3	0.3784
GI-5- 	4563	4	0.380671
GI-60 	795	2	0.337107
GI-61 	1253	3	0.380686
GI-62 	1019	1	0.34053
GI-63 	1533	2	0.313112
GI-64 	1931	3	0.422579
GI-65 	1484	1	0.289084
GI-66 	989	1	0.331648
GI-67 	887	3	0.403608
GI-68 	1163	1	0.342218
GI-69 	2610	3	0.368199
GI-6- 	10774	13	0.344719
GI-70 	1124	1	0.279359
GI-71 	983	1	0.36826
GI-72 	956	1	0.341004
GI-73 	1455	2	0.412371
GI-74 	1416	2	0.381356
GI-7- 	7721	1	0.531278
GI-8- 	4204	6	0.350856
GI-9 	8013	10	0.360789
