Accession	Begin	End	Chromosome	Name	Transcript name	Locus tag
S.sanguinisNZ_GL872310.1	87	572		transcriptional regulator		HMPREF9390_RS11045
S.sanguinisNZ_GL872310.1	783	856		uncharacterized gene		HMPREF9390_RS11040
S.sanguinisNZ_GL872310.1	783	856		tRNA-Asn		HMPREF9390_RS11040
S.sanguinisNZ_GL872310.1	862	933		uncharacterized gene		HMPREF9390_RS11035
S.sanguinisNZ_GL872310.1	862	933		tRNA-Glu		HMPREF9390_RS11035
S.sanguinisNZ_GL872310.1	1039	3018		ATP-dependent zinc metalloprotease FtsH		HMPREF9390_RS11030
S.sanguinisNZ_GL872310.1	3036	3578		hypoxanthine phosphoribosyltransferase		HMPREF9390_RS11025
S.sanguinisNZ_GL872310.1	3583	4860		tRNA lysidine(34) synthetase TilS		HMPREF9390_RS11020
S.sanguinisNZ_GL872310.1	4857	6140		serine hydrolase		HMPREF9390_RS11015
S.sanguinisNZ_GL872310.1	6133	6261		SP_0009 family protein		HMPREF9390_RS11940
S.sanguinisNZ_GL872310.1	6264	6632		septum formation initiator family protein		HMPREF9390_RS11010
S.sanguinisNZ_GL872310.1	6625	6891		RNA-binding S4 domain-containing protein		HMPREF9390_RS11005
S.sanguinisNZ_GL872310.1	6982	10485		transcription-repair coupling factor		HMPREF9390_RS11000
S.sanguinisNZ_GL872310.1	10478	11047		aminoacyl-tRNA hydrolase		HMPREF9390_RS10995
S.sanguinisNZ_GL872310.1	11121	12236		redox-regulated ATPase YchF		HMPREF9390_RS10990
S.sanguinisNZ_GL872310.1	12403	12894		DUF1307 domain-containing protein		HMPREF9390_RS10985
S.sanguinisNZ_GL872310.1	13021	13215		DUF951 family protein		HMPREF9390_RS10980
S.sanguinisNZ_GL872310.1	13343	14479		DNA polymerase III subunit beta		HMPREF9390_RS10975
S.sanguinisNZ_GL872310.1	14638	15990		chromosomal replication initiator protein DnaA		HMPREF9390_RS10970
S.sanguinisNZ_GL872310.1	16204	16965		ParB/RepB/Spo0J family partition protein		HMPREF9390_RS10965
S.sanguinisNZ_GL872310.1	17029	18201		trypsin-like peptidase domain-containing protein		HMPREF9390_RS10960
S.sanguinisNZ_GL872310.1	18405	18884		23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH		HMPREF9390_RS10955
S.sanguinisNZ_GL872310.1	18927	19000		uncharacterized gene		HMPREF9390_RS10950
S.sanguinisNZ_GL872310.1	18927	19000		tRNA-Arg		HMPREF9390_RS10950
S.sanguinisNZ_GL872310.1	19181	19288		hypothetical protein		HMPREF9390_RS0111050
S.sanguinisNZ_GL872310.1	19316	20650		competence system sensor histidine kinase ComD		HMPREF9390_RS10945
S.sanguinisNZ_GL872310.1	20656	21420		competence system response regulator transcription factor ComE		HMPREF9390_RS10940
S.sanguinisNZ_GL872310.1	21466	21537		uncharacterized gene		HMPREF9390_RS10935
S.sanguinisNZ_GL872310.1	21466	21537		tRNA-Glu		HMPREF9390_RS10935
S.sanguinisNZ_GL872310.1	21543	21616		uncharacterized gene		HMPREF9390_RS10930
S.sanguinisNZ_GL872310.1	21543	21616		tRNA-Asn		HMPREF9390_RS10930
S.sanguinisNZ_GL872310.1	21729	24314		YfhO family protein		HMPREF9390_RS10925
S.sanguinisNZ_GL872310.1	24390	26012		ATP-binding cassette domain-containing protein		HMPREF9390_RS10920
S.sanguinisNZ_GL872310.1	26302	27327		tryptophan--tRNA ligase		HMPREF9390_RS10915
S.sanguinisNZ_GL872310.1	27533	29014		IMP dehydrogenase		HMPREF9390_RS10910
S.sanguinisNZ_GL872310.1	29195	30289		DNA replication/repair protein RecF		HMPREF9390_RS10905
S.sanguinisNZ_GL872310.1	30292	30690		S4 domain-containing protein YaaA		HMPREF9390_RS10900
S.sanguinisNZ_GL872310.1	30866	32125		pitrilysin family protein		HMPREF9390_RS10895
S.sanguinisNZ_GL872310.1	32125	33420		pitrilysin family protein		HMPREF9390_RS10890
S.sanguinisNZ_GL872310.1	33454	34308		helix-turn-helix domain-containing protein		HMPREF9390_RS10885
S.sanguinisNZ_GL872310.1	34325	34864		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase		HMPREF9390_RS10880
S.sanguinisNZ_GL872310.1	34866	35702		energy-coupling factor ABC transporter ATP-binding protein		HMPREF9390_RS10875
S.sanguinisNZ_GL872310.1	35678	36517		energy-coupling factor ABC transporter ATP-binding protein		HMPREF9390_RS10870
S.sanguinisNZ_GL872310.1	36510	37304		energy-coupling factor transporter transmembrane protein EcfT		HMPREF9390_RS10865
S.sanguinisNZ_GL872310.1	37515	38105		LysM peptidoglycan-binding domain-containing protein		HMPREF9390_RS10860
S.sanguinisNZ_GL872310.1	38239	38886		HAD family hydrolase		HMPREF9390_RS10855
S.sanguinisNZ_GL872310.1	38938	39810		L-serine ammonia-lyase, iron-sulfur-dependent, subunit alpha		HMPREF9390_RS10850
S.sanguinisNZ_GL872310.1	39819	40490		L-serine ammonia-lyase, iron-sulfur-dependent subunit beta		HMPREF9390_RS10845
S.sanguinisNZ_GL872310.1	40765	41910		tRNA 2-thiouridine(34) synthase MnmA		HMPREF9390_RS10840
S.sanguinisNZ_GL872310.1	42048	43955		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG		HMPREF9390_RS10835
S.sanguinisNZ_GL872310.1	44113	46134		DHH family phosphoesterase		HMPREF9390_RS10830
S.sanguinisNZ_GL872310.1	46131	46583		50S ribosomal protein L9		HMPREF9390_RS10825
S.sanguinisNZ_GL872310.1	46610	47965		replicative DNA helicase		HMPREF9390_RS10820
S.sanguinisNZ_GL872310.1	47968	48243		Veg family protein		HMPREF9390_RS10815
S.sanguinisNZ_GL872310.1	48340	48969		uncharacterized gene		HMPREF9390_RS0111055
S.sanguinisNZ_GL872310.1	49238	50017		ABC transporter permease		HMPREF9390_RS10810
S.sanguinisNZ_GL872310.1	50062	51060		ABC transporter substrate-binding protein		HMPREF9390_RS10805
S.sanguinisNZ_GL872310.1	51060	51782		ABC transporter ATP-binding protein		HMPREF9390_RS10800
S.sanguinisNZ_GL872310.1	52044	52655		30S ribosomal protein S4		HMPREF9390_RS10795
S.sanguinisNZ_GL872310.1	52855	53886		NAD(P)-dependent oxidoreductase		HMPREF9390_RS10790
S.sanguinisNZ_GL872310.1	53861	54688		MBL fold metallo-hydrolase		HMPREF9390_RS10785
S.sanguinisNZ_GL872310.1	54657	55916		coenzyme F390 synthetase		HMPREF9390_RS10780
S.sanguinisNZ_GL872310.1	56017	56961		ketoacyl-ACP synthase III		HMPREF9390_RS10775
S.sanguinisNZ_GL872310.1	57065	57595		TetR/AcrR family transcriptional regulator		HMPREF9390_RS10770
S.sanguinisNZ_GL872310.1	57810	58094		DUF4947 domain-containing protein		HMPREF9390_RS10765
S.sanguinisNZ_GL872310.1	58444	60867		YhgE/Pip domain-containing protein		HMPREF9390_RS10760
S.sanguinisNZ_GL872310.1	61057	61770		polyphosphate polymerase domain-containing protein		HMPREF9390_RS10755
S.sanguinisNZ_GL872310.1	61790	63049		carbohydrate-binding domain-containing protein		HMPREF9390_RS10750
S.sanguinisNZ_GL872310.1	63128	64081		LD-carboxypeptidase		HMPREF9390_RS10745
S.sanguinisNZ_GL872310.1	64225	65265		DUF4097 family beta strand repeat-containing protein		HMPREF9390_RS10740
S.sanguinisNZ_GL872310.1	65258	65857		DUF1700 domain-containing protein		HMPREF9390_RS10735
S.sanguinisNZ_GL872310.1	65832	66170		PadR family transcriptional regulator		HMPREF9390_RS10730
S.sanguinisNZ_GL872310.1	66429	66560		teichoic acid D-Ala incorporation-associated protein DltX		HMPREF9390_RS10725
S.sanguinisNZ_GL872310.1	66580	68130		D-alanine--poly(phosphoribitol) ligase subunit DltA		HMPREF9390_RS10720
S.sanguinisNZ_GL872310.1	68127	69371		D-alanyl-lipoteichoic acid biosynthesis protein DltB		HMPREF9390_RS10715
S.sanguinisNZ_GL872310.1	69391	69630		D-alanine--poly(phosphoribitol) ligase subunit DltC		HMPREF9390_RS10710
S.sanguinisNZ_GL872310.1	69623	70891		D-alanyl-lipoteichoic acid biosynthesis protein DltD		HMPREF9390_RS10705
S.sanguinisNZ_GL872310.1	70932	71417		hypothetical protein		HMPREF9390_RS10700
S.sanguinisNZ_GL872310.1	71448	72275		Cof-type HAD-IIB family hydrolase		HMPREF9390_RS10695
S.sanguinisNZ_GL872310.1	72308	73054		DeoR/GlpR family DNA-binding transcription regulator		HMPREF9390_RS10690
S.sanguinisNZ_GL872310.1	73217	73612		hypothetical protein		HMPREF9390_RS10685
S.sanguinisNZ_GL872310.1	73893	74474		DNA-3-methyladenine glycosylase		HMPREF9390_RS10680
S.sanguinisNZ_GL872310.1	74478	75740		S41 family peptidase		HMPREF9390_RS10675
S.sanguinisNZ_GL872310.1	75767	76933		MFS transporter		HMPREF9390_RS10670
S.sanguinisNZ_GL872310.1	76973	77494		TetR/AcrR family transcriptional regulator		HMPREF9390_RS10665
S.sanguinisNZ_GL872310.1	77664	78551		cation diffusion facilitator family transporter		HMPREF9390_RS10660
S.sanguinisNZ_GL872310.1	79675	81357		ATPase, T2SS/T4P/T4SS family		HMPREF9390_RS10655
S.sanguinisNZ_GL872310.1	81359	82423		type IV pilus twitching motility protein PilT		HMPREF9390_RS10650
S.sanguinisNZ_GL872310.1	82427	83653		type II secretion system F family protein		HMPREF9390_RS10645
S.sanguinisNZ_GL872310.1	83821	84294		prepilin-type N-terminal cleavage/methylation domain-containing protein		HMPREF9390_RS10640
S.sanguinisNZ_GL872310.1	84411	84863		prepilin-type N-terminal cleavage/methylation domain-containing protein		HMPREF9390_RS10635
S.sanguinisNZ_GL872310.1	85004	85498		hypothetical protein		HMPREF9390_RS10630
S.sanguinisNZ_GL872310.1	85516	86904		VWA domain-containing protein		HMPREF9390_RS10625
S.sanguinisNZ_GL872310.1	86917	88377		type II secretion system protein		HMPREF9390_RS10620
S.sanguinisNZ_GL872310.1	88421	89833		pilus assembly protein PilM		HMPREF9390_RS10615
S.sanguinisNZ_GL872310.1	89833	90414		PilN domain-containing protein		HMPREF9390_RS10610
S.sanguinisNZ_GL872310.1	90398	91984		hypothetical protein		HMPREF9390_RS10605
S.sanguinisNZ_GL872310.1	92250	93986		hypothetical protein		HMPREF9390_RS10600
S.sanguinisNZ_GL872310.1	94042	95130		hypothetical protein		HMPREF9390_RS10595
S.sanguinisNZ_GL872310.1	95138	96202		VanW family protein		HMPREF9390_RS10590
S.sanguinisNZ_GL872310.1	96199	97011		A24 family peptidase		HMPREF9390_RS10585
S.sanguinisNZ_GL872310.1	97047	97646		glucosaminidase domain-containing protein		HMPREF9390_RS10580
S.sanguinisNZ_GL872310.1	97807	98721		hypothetical protein		HMPREF9390_RS10575
S.sanguinisNZ_GL872310.1	98770	99660		hypothetical protein		HMPREF9390_RS10570
S.sanguinisNZ_GL872310.1	99712	100746		PDZ domain-containing protein		HMPREF9390_RS10565
S.sanguinisNZ_GL872310.1	100943	101539		hypothetical protein		HMPREF9390_RS10560
S.sanguinisNZ_GL872310.1	101542	101766		helix-turn-helix transcriptional regulator		HMPREF9390_RS10555
S.sanguinisNZ_GL872310.1	101870	102019		50S ribosomal protein L33		HMPREF9390_RS11245
S.sanguinisNZ_GL872310.1	102035	102217		50S ribosomal protein L32		HMPREF9390_RS10550
S.sanguinisNZ_GL872310.1	102404	103270		hypothetical protein		HMPREF9390_RS10545
S.sanguinisNZ_GL872310.1	103459	105162		dihydroxy-acid dehydratase		HMPREF9390_RS10540
S.sanguinisNZ_GL872310.1	105245	105586		metal-sulfur cluster assembly factor		HMPREF9390_RS10535
S.sanguinisNZ_GL872310.1	105767	107047		histidine--tRNA ligase		HMPREF9390_RS10530
S.sanguinisNZ_GL872310.1	107215	107502		WXG100 family type VII secretion target		HMPREF9390_RS10525
S.sanguinisNZ_GL872310.1	107735	110671		type VII secretion protein EsaA		HMPREF9390_RS10520
S.sanguinisNZ_GL872310.1	110678	111136		type VII secretion protein EssA		HMPREF9390_RS10515
S.sanguinisNZ_GL872310.1	111138	111377		EsaB/YukD family protein		HMPREF9390_RS10510
S.sanguinisNZ_GL872310.1	111379	112638		type VII secretion protein EssB		HMPREF9390_RS10505
S.sanguinisNZ_GL872310.1	112641	115432		type VII secretion protein EssC		HMPREF9390_RS0111060
S.sanguinisNZ_GL872310.1	115483	116382		uncharacterized gene		HMPREF9390_RS11870
S.sanguinisNZ_GL872310.1	116398	116766		hypothetical protein		HMPREF9390_RS10500
S.sanguinisNZ_GL872310.1	116770	118920		hypothetical protein		HMPREF9390_RS10495
