From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology (biological process)	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (cellular component)	Pathway	Intramembrane	Subcellular location [CC]	Topological domain	Transmembrane
WP_062201522.1	A0A139MID0	unreviewed	A0A139MID0_9STRE	LXG domain-containing protein	STRDD04_01709	Streptococcus sp. DD04	665										
WP_062201521.1	A0A139MIB5	unreviewed	A0A139MIB5_9STRE	Lipoprotein	STRDD04_01708	Streptococcus sp. DD04	342	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]					TRANSMEM 6..24; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"
WP_052076778.1	A0A0A0DEF9	unreviewed	A0A0A0DEF9_9STRE	LXG domain-containing protein	SSIN_1752	Streptococcus sinensis	123										
WP_052076778.1	A0A139MJ21	unreviewed	A0A139MJ21_9STRE	LXG domain-containing protein	STRDD04_01706	Streptococcus sp. DD04	123										
WP_062201437.1	A0A139MIW7	unreviewed	A0A139MIW7_9STRE	Undecaprenyl-phosphate galactosephosphotransferase (EC 2.7.8.6)	STRDD04_01653	Streptococcus sp. DD04	230	membrane [GO:0016020]; undecaprenyl-phosphate galactose phosphotransferase activity [GO:0047360]		GO:0016020; GO:0047360	undecaprenyl-phosphate galactose phosphotransferase activity [GO:0047360]	membrane [GO:0016020]					TRANSMEM 39..59; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"
WP_062201435.1	A0A139MJ36	unreviewed	A0A139MJ36_9STRE	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase	STRDD04_01652	Streptococcus sp. DD04	405	transaminase activity [GO:0008483]		GO:0008483	transaminase activity [GO:0008483]						
WP_062201433.1	A0A139MIG7	unreviewed	A0A139MIG7_9STRE	Lipopolysaccharide cholinephosphotransferase LicD1	STRDD04_01651	Streptococcus sp. DD04	286	transferase activity [GO:0016740]; glycoprotein metabolic process [GO:0009100]	glycoprotein metabolic process [GO:0009100]	GO:0009100; GO:0016740	transferase activity [GO:0016740]						
WP_062201431.1	A0A139MIN9	unreviewed	A0A139MIN9_9STRE	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)	STRDD04_01650	Streptococcus sp. DD04	239	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity [GO:0050518]; isoprenoid biosynthetic process [GO:0008299]	isoprenoid biosynthetic process [GO:0008299]	GO:0008299; GO:0050518	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity [GO:0050518]						
WP_062201428.1	A0A139MIT8	unreviewed	A0A139MIT8_9STRE	Repeat unit polymerase Wzy	STRDD04_01647	Streptococcus sp. DD04	404	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]			SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		TRANSMEM 12..27; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 33..50; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 57..75; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 87..104; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 111..132; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 164..181; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 188..220; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 226..245; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 301..318; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 330..351; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 360..378; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"
WP_062201426.1	A0A139MIL2	unreviewed	A0A139MIL2_9STRE	Lipopolysaccharide biosynthesis protein WzxC	STRDD04_01646	Streptococcus sp. DD04	489	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]			SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		TRANSMEM 44..65; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 86..106; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 118..138; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 150..170; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 176..196; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 217..240; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 260..278; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 290..312; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 332..354; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 361..379; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 426..444; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 450..470; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"
