From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology (biological process)	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (cellular component)	Pathway	Intramembrane	Subcellular location [CC]	Transmembrane	Topological domain
WP_002901737.1	F2CFP6	unreviewed	F2CFP6_STRSA	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC HMPREF9391_1827	Streptococcus sanguinis SK408	1215	DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]	DNA-templated transcription [GO:0006351]	GO:0000287; GO:0000428; GO:0003677; GO:0003899; GO:0006351; GO:0008270	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270]	DNA-directed RNA polymerase complex [GO:0000428]					
WP_002901737.1	F0FVM3	unreviewed	F0FVM3_STRSA	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC HMPREF9392_2232	Streptococcus sanguinis SK678	1215	DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]	DNA-templated transcription [GO:0006351]	GO:0000287; GO:0000428; GO:0003677; GO:0003899; GO:0006351; GO:0008270	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270]	DNA-directed RNA polymerase complex [GO:0000428]					
WP_000369785.1	F9M4T6	unreviewed	F9M4T6_STRPA	DUF3173 domain-containing protein	HMPREF9962_0203	Streptococcus parasanguinis SK236	62										
WP_000369785.1	F8HEF0	unreviewed	F8HEF0_STRE5	DUF3173 domain-containing protein	Ssal_00072	Streptococcus salivarius (strain 57.I)	62										
WP_000369785.1	F8LU11	unreviewed	F8LU11_STRTR	DUF3173 domain-containing protein	STH8232_2259	Streptococcus thermophilus JIM 8232	62										
WP_000369785.1	V8BB02	unreviewed	V8BB02_STRPA	DUF3173 domain-containing protein	HMPREF1195_01560	Streptococcus parasanguinis CC87K	62										
WP_000369785.1	U5PBH0	unreviewed	U5PBH0_9STRE	DUF3173 domain-containing protein	N596_08570	Streptococcus ilei	62										
WP_000369785.1	W3Y2J6	unreviewed	W3Y2J6_9STRE	PF11372 domain protein	HMPREF1519_1427	Streptococcus sp. SR4	62										
WP_000369785.1	J7TG98	unreviewed	J7TG98_STRSL	Cytosolic protein	RSSL_01787	Streptococcus salivarius K12	62										
WP_000369785.1	A0A4Z1DRQ9	unreviewed	A0A4Z1DRQ9_9STRE	DUF3173 domain-containing protein	E5S68_08645	Streptococcus rubneri	62										
WP_000369785.1	A0A0F5MNZ6	unreviewed	A0A0F5MNZ6_STRGN	Uncharacterized protein	TZ86_01234	Streptococcus gordonii	62										
WP_000369785.1	A0A074IW41	unreviewed	A0A074IW41_STRSL	DUF3173 domain-containing protein	CYK22_10835 DL07_10640 DWY30_02065 DWZ07_08730 FOC73_05045 GMC48_03055 HRE60_09485 I6I02_10725	Streptococcus salivarius	62										
