Accession	Begin	End	Chromosome	Name	Transcript name	Locus tag
S.sp.DD04NZ_KQ968976.1	1	1720		SpaA isopeptide-forming pilin-related protein		STRDD04_RS00005
S.sp.DD04NZ_KQ968976.1	1976	2343		lysozyme family protein		STRDD04_RS00010
S.sp.DD04NZ_KQ968976.1	2848	3746		uncharacterized gene		STRDD04_RS00015
S.sp.DD04NZ_KQ968976.1	3748	5010		serine hydroxymethyltransferase		STRDD04_RS00020
S.sp.DD04NZ_KQ968976.1	5121	5714		L-threonylcarbamoyladenylate synthase		STRDD04_RS00025
S.sp.DD04NZ_KQ968976.1	5707	6537		peptide chain release factor N(5)-glutamine methyltransferase		STRDD04_RS00030
S.sp.DD04NZ_KQ968976.1	6537	7616		peptide chain release factor 1		STRDD04_RS00035
S.sp.DD04NZ_KQ968976.1	7653	8225		thymidine kinase		STRDD04_RS00040
S.sp.DD04NZ_KQ968976.1	8379	8579		4-oxalocrotonate tautomerase		STRDD04_RS00045
S.sp.DD04NZ_KQ968976.1	8800	10132		MATE family efflux transporter		STRDD04_RS00050
S.sp.DD04NZ_KQ968976.1	10217	11482		nucleobase:cation symporter-2 family protein		STRDD04_RS00055
S.sp.DD04NZ_KQ968976.1	11484	12065		xanthine phosphoribosyltransferase		STRDD04_RS00060
S.sp.DD04NZ_KQ968976.1	12262	13245		GMP reductase		STRDD04_RS00065
S.sp.DD04NZ_KQ968976.1	13418	13603		twin-arginine translocase TatA/TatE family subunit		STRDD04_RS00070
S.sp.DD04NZ_KQ968976.1	13603	14310		twin-arginine translocase subunit TatC		STRDD04_RS00075
S.sp.DD04NZ_KQ968976.1	14324	15999		uncharacterized gene		STRDD04_RS00080
S.sp.DD04NZ_KQ968976.1	15977	17185		iron uptake transporter deferrochelatase/peroxidase subunit		STRDD04_RS00085
S.sp.DD04NZ_KQ968976.1	17190	18062		EfeM/EfeO family lipoprotein		STRDD04_RS00090
S.sp.DD04NZ_KQ968976.1	18190	19746		ClC family H(+)/Cl(-) exchange transporter		STRDD04_RS00095
S.sp.DD04NZ_KQ968976.1	19888	20706		PrsW family glutamic-type intramembrane protease		STRDD04_RS00100
S.sp.DD04NZ_KQ968976.1	21101	22480		FAD-dependent oxidoreductase		STRDD04_RS00105
S.sp.DD04NZ_KQ968976.1	22753	23682		FAD:protein FMN transferase		STRDD04_RS00110
S.sp.DD04NZ_KQ968976.1	23724	24329		NAD(P)H-dependent oxidoreductase		STRDD04_RS00115
S.sp.DD04NZ_KQ968976.1	24347	25366		NAD(P)H-dependent oxidoreductase		STRDD04_RS00120
S.sp.DD04NZ_KQ968976.1	25499	25678		uncharacterized gene		STRDD04_RS10435
S.sp.DD04NZ_KQ968976.1	25781	26662		4-hydroxy-tetrahydrodipicolinate synthase		STRDD04_RS00125
S.sp.DD04NZ_KQ968976.1	26765	27841		aspartate-semialdehyde dehydrogenase		STRDD04_RS00130
S.sp.DD04NZ_KQ968976.1	27898	28149		hypothetical protein		STRDD04_RS11235
S.sp.DD04NZ_KQ968976.1	28357	29010		DNA alkylation repair protein		STRDD04_RS00135
S.sp.DD04NZ_KQ968976.1	29014	29625		DUF5052 family protein		STRDD04_RS00140
S.sp.DD04NZ_KQ968976.1	29622	30155		GNAT family N-acetyltransferase		STRDD04_RS00145
S.sp.DD04NZ_KQ968976.1	30226	31896		formate--tetrahydrofolate ligase		STRDD04_RS00150
S.sp.DD04NZ_KQ968976.1	32116	32808		phosphopantothenate--cysteine ligase		STRDD04_RS00155
S.sp.DD04NZ_KQ968976.1	32805	33356		phosphopantothenoylcysteine decarboxylase		STRDD04_RS00160
S.sp.DD04NZ_KQ968976.1	33340	33903		ECF transporter S component		STRDD04_RS00165
S.sp.DD04NZ_KQ968976.1	33953	35656		recombinase family protein		STRDD04_RS00170
S.sp.DD04NZ_KQ968976.1	35870	36667		replication-relaxation family protein		STRDD04_RS00175
S.sp.DD04NZ_KQ968976.1	36760	37110		hypothetical protein		STRDD04_RS11240
S.sp.DD04NZ_KQ968976.1	37263	37450		hypothetical protein		STRDD04_RS11245
S.sp.DD04NZ_KQ968976.1	37484	38942		type IV secretion system DNA-binding domain-containing protein		STRDD04_RS00180
